lead_id,pharmacy_name,owner_name,phone_zalo,district,city,stores,source,status,pain_1,pain_2,owner_pack_sent,submission_id,pilot_focus,pilot_amount_vnd,next_action,next_action_date,rep,lost_reason,last_contact_at,notes
TN-001,NT Minh An (mẫu),Chị Lan,09xxxxxxxx,TP Thái Nguyên,Thái Nguyên,1,referral,Assessed,Khách quen chưa được nhắc mua lại,Cảnh báo cận date chưa thành thói quen,yes,,ops_299,299000,Gọi mirror pain #1 + đề xuất Pilot,2026-08-09,Sales1,,2026-08-08,Sample row — thay bằng lead thật
TN-002,,,,,,,,Lead,,,,,,,Xin SĐT / gửi Zalo mở đầu (005),,,,
TN-003,,,,,,,,Lead,,,,,,,
TN-004,,,,,,,,Lead,,,,,,,
TN-005,,,,,,,,Lead,,,,,,,
TN-006,,,,,,,,Lead,,,,,,,
TN-007,,,,,,,,Lead,,,,,,,
TN-008,,,,,,,,Lead,,,,,,,
TN-009,,,,,,,,Lead,,,,,,,
TN-010,,,,,,,,Lead,,,,,,,
TN-011,,,,,,,,Lead,,,,,,,
TN-012,,,,,,,,Lead,,,,,,,
TN-013,,,,,,,,Lead,,,,,,,
TN-014,,,,,,,,Lead,,,,,,,
TN-015,,,,,,,,Lead,,,,,,,
TN-016,,,,,,,,Lead,,,,,,,
TN-017,,,,,,,,Lead,,,,,,,
TN-018,,,,,,,,Lead,,,,,,,
TN-019,,,,,,,,Lead,,,,,,,
TN-020,,,,,,,,Lead,,,,,,,
TN-021,,,,,,,,Lead,,,,,,,
TN-022,,,,,,,,Lead,,,,,,,
TN-023,,,,,,,,Lead,,,,,,,
TN-024,,,,,,,,Lead,,,,,,,
TN-025,,,,,,,,Lead,,,,,,,
TN-026,,,,,,,,Lead,,,,,,,
TN-027,,,,,,,,Lead,,,,,,,
TN-028,,,,,,,,Lead,,,,,,,
TN-029,,,,,,,,Lead,,,,,,,
TN-030,,,,,,,,Lead,,,,,,,
TN-031,,,,,,,,Lead,,,,,,,
TN-032,,,,,,,,Lead,,,,,,,
TN-033,,,,,,,,Lead,,,,,,,
TN-034,,,,,,,,Lead,,,,,,,
TN-035,,,,,,,,Lead,,,,,,,
TN-036,,,,,,,,Lead,,,,,,,
TN-037,,,,,,,,Lead,,,,,,,
TN-038,,,,,,,,Lead,,,,,,,
TN-039,,,,,,,,Lead,,,,,,,
TN-040,,,,,,,,Lead,,,,,,,
TN-041,,,,,,,,Lead,,,,,,,
TN-042,,,,,,,,Lead,,,,,,,
TN-043,,,,,,,,Lead,,,,,,,
TN-044,,,,,,,,Lead,,,,,,,
TN-045,,,,,,,,Lead,,,,,,,
TN-046,,,,,,,,Lead,,,,,,,
TN-047,,,,,,,,Lead,,,,,,,
TN-048,,,,,,,,Lead,,,,,,,
TN-049,,,,,,,,Lead,,,,,,,
TN-050,,,,,,,,Lead,,,,,,,
